N =  80 ;
CostProd = 
[
[	[55.1524404538331, 	40.9990142752585, 	48.7507881615705], 		 [35.8427217692522, 	49.6891694818872, 	29.493024996438 ]	]
[	[55.4444856729091, 	42.4883348557476, 	48.2747884221541], 		 [30.6344399612446, 	47.8855626105083, 	24.3847143818726 ]	]
[	[56.2640691545513, 	46.6192739445198, 	48.8047698569558], 		 [33.4086490026482, 	42.6863299589079, 	38.2296882098341 ]	]
[	[56.6020286832903, 	39.6552279671818, 	52.6800338590645], 		 [40.1415920715727, 	41.0245506972005, 	27.0811343518666 ]	]
[	[55.9056222564761, 	42.1841386953708, 	49.0380215455021], 		 [35.1533436696668, 	46.6099677027633, 	27.1634217847105 ]	]
[	[56.0824806986723, 	38.8052916504782, 	47.6975332179994], 		 [40.5652070786835, 	48.7018627571971, 	34.5585218221245 ]	]
[	[56.1208084342642, 	42.3289641866934, 	50.6050746669494], 		 [38.4733901824346, 	42.0866429520786, 	24.9740152037248 ]	]
[	[54.246442306187, 	39.0639899866093, 	50.5871584418897], 		 [28.049157111954, 	44.1089353264021, 	40.1570907198176 ]	]
[	[56.0968710944928, 	41.4593969381775, 	49.9257965251075], 		 [34.3453854999297, 	46.7609758275494, 	33.5199424873882 ]	]
[	[56.6379933860307, 	45.0461705609542, 	48.0402821319968], 		 [36.0140232877342, 	44.5876070265754, 	28.6798055091642 ]	]
[	[54.6033228640732, 	43.1936368248902, 	48.8737536532572], 		 [27.947167498814, 	46.413467891144, 	33.3130327131708 ]	]
[	[56.5544680044412, 	41.0905686024643, 	50.5536298643207], 		 [40.7995491337505, 	41.8377035004024, 	28.5557130217865 ]	]
[	[56.005564362308, 	41.4545928440915, 	48.3895131605806], 		 [31.3855260872732, 	46.4257140429735, 	33.9858303759811 ]	]
[	[54.1025570546447, 	44.7073890203574, 	48.9419229210931], 		 [32.4725187177894, 	44.3728915202547, 	34.4381921725715 ]	]
[	[54.0281588165015, 	39.0008889048738, 	49.5535940726655], 		 [34.517568252343, 	45.8458496096851, 	27.7083635306304 ]	]
[	[56.1615789154836, 	42.0752274347133, 	48.984974795658], 		 [45.6817996553914, 	47.3722663886595, 	28.7789467586717 ]	]
[	[54.7291770900079, 	36.4835537390246, 	49.9026162182406], 		 [29.6178434629682, 	50.8259367405378, 	28.2401314812844 ]	]
[	[55.3987097763899, 	51.2996689517224, 	45.5021812559261], 		 [32.1004282399834, 	42.3693533527827, 	42.8497949191665 ]	]
[	[54.496485965519, 	42.9624418038622, 	49.855457771556], 		 [35.5972716925671, 	39.7672828045816, 	29.9553353521749 ]	]
[	[54.6139452132744, 	42.0602390580827, 	50.1623408371126], 		 [32.7115793183149, 	46.4637303178158, 	32.8371935634498 ]	]
[	[54.7076438362504, 	45.8863777279739, 	50.8594453304638], 		 [24.9434302973214, 	40.2336303560845, 	34.8680849774946 ]	]
[	[55.2424673747899, 	44.058759308471, 	48.162144315793], 		 [34.4970752605468, 	44.7161594735959, 	32.0058005365563 ]	]
[	[53.7918947306522, 	34.0564426306397, 	54.5694760776883], 		 [35.8885833479815, 	45.4323869719713, 	20.9941335134003 ]	]
[	[56.2655137501353, 	39.7279398422611, 	50.2144669190846], 		 [43.4611023880386, 	46.4058134293672, 	21.8769136771892 ]	]
[	[53.1791576679668, 	35.9175980917154, 	49.7157921569087], 		 [34.5874032550594, 	52.7080627871791, 	27.0796165105252 ]	]
[	[56.5762460639549, 	41.8977157914269, 	51.5448911839878], 		 [34.6514214852865, 	42.0054766484064, 	28.6792803616941 ]	]
[	[54.5340419744063, 	35.1969835829237, 	50.7813884623183], 		 [33.20518282592, 	52.2323086724963, 	28.4111500951394 ]	]
[	[53.7546485103179, 	35.1823952160076, 	51.9217663823978], 		 [24.836101412007, 	46.9011260669341, 	33.277955479166 ]	]
[	[54.3968618864886, 	43.8153545286312, 	47.73078893455], 		 [30.5891655635288, 	47.1837829064865, 	28.8524539095502 ]	]
[	[55.3666344848781, 	39.099819136252, 	50.684544339108], 		 [38.2648974416186, 	44.6390643549532, 	32.0784383919084 ]	]
[	[53.2256402590927, 	30.7802487803341, 	51.9963841474811], 		 [33.2288535263907, 	46.6769444486248, 	22.3375205217752 ]	]
